time,open,high,low,close,volume,index_code
2024-12-04,1304.74,1305.06,1297.49,1297.81,145299121,VN30
2024-12-05,1299.95,1337.55,1295.73,1337.55,275185721,VN30
2024-12-06,1337.06,1341.57,1334.35,1337.28,197227509,VN30
2024-12-09,1337.23,1343.05,1330.52,1336.18,157523361,VN30
2024-12-10,1335.95,1339.7,1332.47,1335.85,160848721,VN30
2024-12-11,1335.88,1342.7,1329.84,1336.48,181640145,VN30
2024-12-12,1336.6,1344.37,1333.45,1335.55,184357743,VN30
2024-12-13,1333.8,1334.81,1328.87,1331.58,131589707,VN30
2024-12-16,1331.95,1335.4,1325.07,1331.82,124755254,VN30
2024-12-17,1332.88,1332.96,1325.14,1327.63,101483105,VN30
2024-12-18,1328.1,1331.73,1325.91,1329.83,102135225,VN30
2024-12-19,1329.35,1329.35,1309.17,1314.16,239676624,VN30
2024-12-20,1315.86,1318.48,1313.3,1317.77,128059784,VN30
2024-12-23,1321.49,1326.0,1320.82,1323.02,109750257,VN30
2024-12-24,1323.61,1323.9,1315.01,1323.27,118990395,VN30
2024-12-25,1323.33,1350.07,1323.33,1342.48,251337849,VN30
2024-12-26,1344.14,1346.47,1339.51,1342.68,162041224,VN30
2024-12-27,1342.88,1348.83,1341.75,1346.84,216552622,VN30
2024-12-30,1344.92,1347.35,1337.86,1347.35,139274745,VN30
2024-12-31,1346.66,1346.99,1341.15,1344.75,139181336,VN30
2025-01-02,1344.76,1347.14,1334.39,1343.2,135245961,VN30
2025-01-03,1341.15,1341.3,1320.58,1320.58,169361320,VN30
2025-01-06,1320.14,1325.73,1313.04,1313.04,160285367,VN30
2025-01-07,1316.62,1322.23,1309.55,1315.28,164108312,VN30
2025-01-08,1314.09,1316.63,1306.69,1316.63,124521673,VN30
2025-01-09,1316.35,1318.87,1307.55,1310.8,107116382,VN30
2025-01-10,1310.35,1312.32,1293.23,1293.23,168827790,VN30
2025-01-13,1287.64,1298.34,1282.57,1298.34,144986288,VN30
2025-01-14,1295.79,1297.32,1285.32,1289.23,114294097,VN30
2025-01-15,1295.66,1300.37,1291.73,1297.64,117689154,VN30
2025-01-16,1303.41,1307.82,1293.19,1303.25,145711626,VN30
2025-01-17,1302.79,1313.48,1298.85,1313.48,112063234,VN30
2025-01-20,1313.26,1319.06,1311.5,1316.95,125989347,VN30
2025-01-21,1321.3,1323.27,1309.41,1314.81,127673321,VN30
2025-01-22,1317.91,1318.25,1309.72,1309.72,128079465,VN30
2025-01-23,1309.92,1339.48,1309.92,1332.54,206537687,VN30
2025-01-24,1332.2,1339.55,1330.29,1337.59,149682205,VN30
2025-02-03,1326.19,1326.19,1311.4,1315.46,184653055,VN30
2025-02-04,1320.61,1327.61,1317.42,1327.21,184527293,VN30
2025-02-05,1330.28,1334.58,1326.77,1331.35,152340206,VN30
2025-02-06,1336.42,1340.92,1333.45,1336.59,175154373,VN30
2025-02-07,1337.13,1345.26,1332.68,1340.8,194063003,VN30
2025-02-10,1336.47,1343.09,1327.15,1330.88,283969588,VN30
2025-02-11,1333.7,1338.4,1329.15,1338.4,237682494,VN30
2025-02-12,1341.47,1343.44,1335.35,1335.68,131278165,VN30
2025-02-13,1334.7,1338.33,1329.56,1337.78,139211699,VN30
2025-02-14,1339.22,1347.98,1338.0,1340.52,185769477,VN30
2025-02-17,1341.18,1342.89,1334.01,1334.01,181088302,VN30
2025-02-18,1335.56,1346.8,1332.62,1337.39,177086547,VN30
2025-02-19,1338.47,1346.67,1335.26,1344.64,173393300,VN30
2025-02-20,1348.11,1351.52,1345.43,1349.45,207915175,VN30
2025-02-21,1349.81,1355.09,1347.86,1353.73,230690091,VN30
2025-02-24,1357.3,1364.52,1352.52,1364.52,296883740,VN30
2025-02-25,1365.87,1369.32,1356.21,1360.56,270435309,VN30
2025-02-26,1362.06,1364.91,1358.79,1360.56,213402380,VN30
2025-02-27,1363.37,1364.27,1351.05,1363.62,232269512,VN30
2025-02-28,1360.55,1361.66,1351.09,1356.43,237594806,VN30
2025-03-03,1356.43,1362.8,1355.12,1361.16,261024230,VN30
2025-03-04,1357.55,1369.5,1350.11,1367.97,296617110,VN30
2025-03-05,1369.62,1379.66,1363.91,1363.91,269498214,VN30
2025-03-06,1368.13,1380.12,1367.82,1379.62,283060312,VN30
2025-03-07,1381.51,1390.98,1378.38,1389.77,328660813,VN30
2025-03-10,1394.81,1400.13,1387.23,1391.07,307626205,VN30
2025-03-11,1378.44,1393.57,1375.44,1393.57,267268434,VN30
2025-03-12,1397.4,1400.45,1387.35,1392.39,268135601,VN30
2025-03-13,1393.93,1400.6,1385.24,1387.3,348831063,VN30
2025-03-14,1387.08,1394.39,1385.2,1387.03,374746690,VN30
2025-03-17,1392.75,1397.28,1389.42,1394.9,352390462,VN30
2025-03-18,1398.44,1400.38,1388.64,1388.64,291777344,VN30
2025-03-19,1385.92,1386.57,1374.83,1377.63,363636853,VN30
2025-03-20,1382.23,1388.37,1371.98,1378.95,360187463,VN30
2025-03-21,1379.05,1381.25,1375.68,1378.27,281382199,VN30
2025-03-24,1379.27,1390.7,1372.71,1390.7,351529037,VN30
2025-03-25,1391.01,1398.29,1386.28,1388.79,303958101,VN30
2025-03-26,1390.15,1396.34,1379.39,1381.47,300611767,VN30
2025-03-27,1380.95,1384.75,1378.87,1380.26,222832515,VN30
2025-03-28,1380.2,1381.26,1369.83,1373.93,208184101,VN30
2025-03-31,1368.95,1369.07,1360.66,1363.88,270618408,VN30
2025-04-01,1369.18,1376.91,1363.6,1376.91,212343999,VN30
2025-04-02,1381.03,1384.38,1376.54,1376.94,236793252,VN30
2025-04-03,1342.46,1342.46,1282.99,1283.18,811106220,VN30
2025-04-04,1269.06,1280.52,1208.42,1280.52,867856431,VN30
2025-04-08,1241.58,1245.51,1193.47,1197.51,558266636,VN30
2025-04-09,1182.91,1220.73,1133.9,1168.68,667720931,VN30
2025-04-10,1248.92,1249.29,1248.1,1249.29,55435201,VN30
2025-04-11,1268.12,1310.02,1265.26,1309.94,743354518,VN30
